Date,10-2s,GDP,Vix1-Vix2,SPY Shifted
5/29/2015,1.51,-0.7,7.85,210.5
6/24/2015,1.7,-0.2,7.13,210.82
7/30/2015,1.56,2.3,9.75,199.27
8/27/2015,1.5,3.7,-11.16,192.85
9/25/2015,1.47,3.9,-3.13,208.83
10/29/2015,1.44,1.5,5.01,209.35
11/24/2015,1.31,2.1,4.87,203.5
12/22/2015,1.25,2.0,3.36,193.72
1/29/2016,1.18,0.7,-1.39,195.09
2/26/2016,0.96,1.0,1.4,0.0
3/25/2016,0.0,1.4,0.0,207.45
4/28/2016,1.06,0.5,11.94,210.24
5/27/2016,0.95,0.8,14.35,203.2
6/28/2016,0.85,1.1,2.38,217.12
7/29/2016,0.79,1.2,18.41,217.29
8/26/2016,0.78,1.1,12.34,214.68
9/29/2016,0.83,1.4,6.96,212.54
10/28/2016,1.0,2.9,2.58,220.91
11/29/2016,1.21,3.2,13.36,225.38
12/22/2016,1.33,3.5,12.04,228.97
1/27/2017,1.27,1.9,12.51,236.47
2/28/2017,1.14,1.9,13.4,236.29
3/30/2017,1.14,2.1,4.13,238.08
4/28/2017,1.01,0.7,7.02,241.71
5/26/2017,0.95,1.2,8.2,241.35
6/29/2017,0.89,1.4,5.33,246.91
7/28/2017,0.96,2.6,11.28,246.01
8/30/2017,0.82,3.0,7.07,250.35
9/28/2017,0.86,3.1,10.08,257.71
10/27/2017,0.83,3.0,6.72,262.71
11/29/2017,0.59,3.3,12.91,267.58
12/21/2017,0.59,3.2,9.38,286.58
1/26/2018,0.53,2.6,6.1,271.65
2/28/2018,0.62,2.5,0.0,259.83
3/28/2018,0.49,2.9,-5.25,266.56
4/27/2018,0.47,2.3,0.0,272.61
5/30/2018,0.42,2.2,3.16,270.89
6/28/2018,0.32,2.0,0.3,281.42
7/27/2018,0.29,4.1,6.27,291.48
8/29/2018,0.22,4.2,9.1,290.69
9/27/2018,0.23,4.2,6.38,265.33
10/26/2018,0.27,3.5,-4.88,274.58
11/28/2018,0.25,3.5,2.03,240.7
12/21/2018,0.16,3.4,-5.17,278.68
2/28/2019,0.21,2.6,4.47,280.71
3/28/2019,0.16,2.2,6.34,293.41
4/26/2019,0.23,3.2,8.54,279.03
5/30/2019,0.16,3.1,2.07,291.5
6/27/2019,0.27,3.1,5.59,302.01
7/26/2019,0.22,2.1,9.76,292.58
8/29/2019,-0.03,2.0,2.8,297.0
9/26/2019,0.04,2.0,6.34,304.14
10/30/2019,0.17,1.9,10.13,315.48
11/27/2019,0.14,2.1,16.4,320.73
12/20/2019,0.29,2.1,10.65,327.68
1/30/2020,0.16,2.1,1.68,297.51
2/27/2020,0.19,2.1,-11.2,261.2
3/26/2020,0.53,2.1,-14.13,293.21
4/29/2020,0.43,-4.8,-0.41,302.97
5/28/2020,0.53,-5.0,2.64,307.35
6/25/2020,0.51,-5.0,0.62,311.78
